,0
329,3681.0
330,3684.0
331,3685.0
332,3687.0
333,3690.0
334,3696.0
335,3697.0
336,3698.0
337,3699.0
338,3700.0
339,3702.0
340,3703.0
341,3705.0
342,3706.0
343,3707.0
344,3708.0
345,3709.0
346,3710.0
347,3711.0
348,3712.0
349,3713.0
350,3714.0
351,3715.0
352,3717.0
353,3718.0
354,3719.0
355,3720.0
356,3721.0
357,3722.0
358,3724.0
359,3725.0
360,3726.0
361,3727.0
362,3729.0
363,3730.0
364,3731.0
365,3733.0
366,3734.0
367,3735.0
368,3736.0
369,3737.0
370,3738.0
371,3739.0
372,3740.0
373,3741.0
374,3743.0
375,3744.0
376,3745.0
377,3746.0
378,3747.0
379,3748.0
380,3749.0
381,3750.0
382,3751.0
383,3752.0
384,3753.0
385,3754.0
386,3755.0
387,3756.0
388,3757.0
389,3758.0
390,3760.0
391,3761.0
392,3762.0
393,3766.0
394,3767.0
395,3768.0
396,3769.0
397,3770.0
398,3771.0
399,3772.0
400,3773.0
401,3774.0
402,3775.0
403,3776.0
404,3778.0
405,3780.0
406,3781.0
407,3782.0
408,3783.0
409,3784.0
410,3785.0
411,3786.0
412,3788.0
413,3789.0
414,3790.0
415,3792.0
416,3793.0
417,3795.0
418,3797.0
419,3798.0
420,3799.0
421,3800.0
422,3801.0
423,3803.0
424,3804.0
425,3806.0
426,3807.0
427,3808.0
428,3810.0
429,3811.0
430,3812.0
431,3813.0
432,3814.0
433,3815.0
434,3816.0
435,3817.0
436,3818.0
437,3819.0
438,3823.0
439,3825.0
440,3827.0
441,3828.0
442,3830.0
443,3833.0
444,3834.0
445,3835.0
446,3836.0
447,3837.0
448,3838.0
449,3840.0
450,3842.0
451,3843.0
452,3847.0
453,3848.0
454,3850.0
455,3851.0
456,3852.0
457,3855.0
458,3857.0
459,3859.0
460,3860.0
461,3863.0
462,3865.0
463,3866.0
464,3867.0
465,3868.0
466,3869.0
467,3871.0
468,3872.0
469,3873.0
470,3874.0
471,3875.0
472,3876.0
473,3878.0
474,3879.0
475,3880.0
476,3882.0
477,3883.0
478,3884.0
479,3886.0
480,3887.0
481,3888.0
482,3889.0
483,3890.0
484,3891.0
485,3892.0
486,3893.0
487,3894.0
488,3897.0
489,3899.0
490,3900.0
491,3901.0
492,3902.0
493,3903.0
494,3904.0
495,3905.0
496,3906.0
497,3907.0
